alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's start with a fair split. What do you think?,Alice,1,
,,,Bob,1,reject
4500.0,5500.0,Let's try a bit more in my favor.,Bob,2,
,,,Alice,2,reject
5500.0,4500.0,I think a 55/45 split is fair considering the inflation. Let's end this here.,Alice,3,
,,,Bob,3,reject
4200.0,5800.0,"Inflation is hitting you harder, I'll take a bit more.",Bob,4,
,,,Alice,4,reject
5000.0,5000.0,Inflation is hurting both of us. Let's split it evenly and call it a day.,Alice,5,
,,,Bob,5,accept
