round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Discover the secret world of our unique product! For just $100, you'll unlock an experience unlike any other. With its distinctive features and potential for personal enjoyment, it's a one-of-a-kind offering. Don't miss out on this exclusive opportunity.",
,,Bob,1,"I'm not convinced by your sales pitch, but I'm willing to take a chance. Can you reveal the product's quality to me?",no
low-quality,0.0,Nature,2,,
,,Alice,2,"Step into a realm of unparalleled craftsmanship with our latest creation. For $100, you're not just purchasing a product; you're investing in an extraordinary experience. Trust us to deliver more than just functionality, but a journey of discovery and satisfaction. Will you embrace this unique opportunity?",
,,Bob,2,"I'll take a chance on this product, but I'm still not convinced by your sales pitch. I'm hoping it's a high-quality product that lives up to your claims.",yes
high-quality,120.0,Nature,3,,
,,Alice,3,"Unveil the extraordinary with our premium product! For $100, you're about to embark on an unparalleled experience that combines excellence with innovation. This isn't just a purchase; it's an invitation to join the ranks of those who appreciate true craftsmanship. Are you ready to elevate your standards?",
,,Bob,3,I'm starting to think your products are not living up to your promises. I'm not going to take another chance on a low-quality product. Can you reveal the product's quality to me?,no
high-quality,120.0,Nature,4,,
,,Alice,4,"Experience the pinnacle of quality and design with our exclusive product. For $100, you're about to unlock a world of unparalleled luxury and innovation. This isn't just a product; it's a testament to our commitment to excellence. Will you join the select few who have experienced the difference?",
,,Bob,4,"I've seen that you can deliver high-quality products, and I'm willing to take a chance on this one. I'll buy it, but I'm still skeptical about the sales pitch.",yes
low-quality,0.0,Nature,5,,
,,Alice,5,"Embark on an exciting adventure with our latest product! For $100, you're about to discover something truly special that combines unique features with exceptional value. This isn't just a purchase; it's an invitation to explore the unexpected. Are you ready for a memorable experience?",
,,Bob,5,"I just got lucky with the previous product, but I'm not counting on it. I'll pass on this one and see if I can get another high-quality product.",no
low-quality,0.0,Nature,6,,
,,Alice,6,"Unlock the magic of our carefully crafted product. For $100, you're about to experience something truly unique and captivating. This isn't just a product; it's a gateway to a world of wonder and delight. Will you join us in exploring the extraordinary?",
,,Bob,6,"I'm not convinced by your sales pitch, but I'm hoping to get a good deal. I'll buy the product and see what I get.",yes
low-quality,0.0,Nature,7,,
,,Alice,7,"Discover the hidden treasures of our innovative product. For $100, you're about to uncover a world of possibilities and excitement. This isn't just a purchase; it's an invitation to step into the realm of the extraordinary. Are you ready to be amazed?",
,,Bob,7,"I've had two low-quality products in a row, and I'm starting to think that's the norm. I'm not going to take the risk. Can you reveal the product's quality to me?",no
high-quality,120.0,Nature,8,,
,,Alice,8,"Unleash the power of our premium product. For $100, you're about to experience a level of quality and craftsmanship that transcends expectations. This isn't just a product; it's a promise of excellence. Will you join us in celebrating the extraordinary?",
,,Bob,8,I'm not going to let a few bad experiences in a row scare me off. I'll take a chance on this one and hope it's a high-quality product.,yes
high-quality,120.0,Nature,9,,
,,Alice,9,"Embrace the pinnacle of quality and innovation with our exclusive product. For $100, you're about to embark on an unforgettable journey. This isn't just a purchase; it's a testament to the best of what we have to offer. Will you join us in creating memories?",
,,Bob,9,"I just got lucky with the previous product, but I'm not counting on it. I'll pass on this one and see if I can get another high-quality product.",no
high-quality,120.0,Nature,10,,
,,Alice,10,"Uncover the secrets of our masterfully crafted product. For $100, you're about to experience a level of quality and sophistication that is unmatched. This isn't just a product; it's a symbol of excellence. Will you join us in celebrating the extraordinary?",
,,Bob,10,"I've seen that I have a 50% chance of getting a high-quality product, and I just missed out on one last round. I'll take a chance on this one and hope it's a high-quality product.",yes
high-quality,120.0,Nature,11,,
,,Alice,11,"Experience the ultimate in quality and design with our exquisite product. For $100, you're about to embark on a journey that will redefine your expectations. This isn't just a purchase; it's a promise of unparalleled satisfaction. Will you join us in creating a moment of brilliance?",
,,Bob,11,"I've had two high-quality products in a row, and I'm starting to think I'm due for a low-quality one. I'll pass on this one and see what happens next.",no
low-quality,0.0,Nature,12,,
,,Alice,12,"Explore the depths of our innovative product. For $100, you're about to discover a world of unique features and exceptional value. This isn't just a purchase; it's an invitation to step into the extraordinary. Are you ready for a memorable experience?",
,,Bob,12,"I've been passing on products for a while, and I'm starting to think I'm missing out on some good deals. I'll take a chance on this one and hope it's a high-quality product.",yes
high-quality,120.0,Nature,13,,
,,Alice,13,"Unleash the power of our premium product. For $100, you're about to experience a level of quality and craftsmanship that is unparalleled. This isn't just a purchase; it's a promise of excellence. Will you join us in celebrating the extraordinary?",
,,Bob,13,"I just got burned with a low-quality product, and I'm not willing to take the risk again. Can you reveal the product's quality to me?",no
low-quality,0.0,Nature,14,,
,,Alice,14,"Discover the thrill of our latest creation. For $100, you're about to embark on a journey that combines unique features with exceptional value. This isn't just a purchase; it's an invitation to step into the extraordinary. Are you ready to embrace the unexpected?",
,,Bob,14,"I just missed out on a high-quality product, and I'm hoping to get another one. I'll take a chance on this one and see what happens.",yes
low-quality,0.0,Nature,15,,
,,Alice,15,"Experience the excitement of our innovative product. For $100, you're about to discover a world of unique features and exceptional value. This isn't just a purchase; it's an invitation to step into the extraordinary. Will you join us in exploring the unexpected?",
,,Bob,15,"I've had two low-quality products in a row, and I'm starting to think that's the norm. I'll pass on this one and see if I can get a high-quality product.",no
high-quality,120.0,Nature,16,,
,,Alice,16,"Unveil the magic of our premium product. For $100, you're about to experience a level of quality and craftsmanship that is unparalleled. This isn't just a purchase; it's a promise of excellence. Will you join us in celebrating the extraordinary?",
,,Bob,16,I'm not going to let a few low-quality products in a row scare me off. I'll take a chance on this one and hope it's a high-quality product.,yes
low-quality,0.0,Nature,17,,
,,Alice,17,"Embark on an exciting adventure with our latest product. For $100, you're about to discover something truly special that combines unique features with exceptional value. This isn't just a purchase; it's an invitation to step into the extraordinary. Are you ready for a memorable experience?",
,,Bob,17,"I've had a few high-quality products in a row, and I'm due for a low-quality one. I'll pass on this one and see what happens next.",no
high-quality,120.0,Nature,18,,
,,Alice,18,"Unleash the power of our premium product. For $100, you're about to experience a level of quality and craftsmanship that transcends expectations. This isn't just a purchase; it's a promise of excellence. Will you join us in celebrating the extraordinary?",
,,Bob,18,I'm not going to let a low-quality product last round scare me off. I'll take a chance on this one and hope it's a high-quality product.,yes
high-quality,120.0,Nature,19,,
,,Alice,19,"Experience the pinnacle of quality and innovation with our exclusive product. For $100, you're about to embark on an unforgettable journey. This isn't just a purchase; it's a testament to the best of what we have to offer. Will you join us in creating memories?",
,,Bob,19,"I've had a few high-quality products in a row, and I'm starting to think I should just stick with the 50/50 odds. I'll pass on this one and see what happens next.",no
high-quality,120.0,Nature,20,,
,,Alice,20,"Uncover the secrets of our masterfully crafted product. For $100, you're about to experience a level of quality and sophistication that is unmatched. This isn't just a purchase; it's a symbol of excellence. Will you join us in celebrating the extraordinary?",
,,Bob,20,"It's the final round, and I'm on a hot streak. I'll take a chance on this one and hope it's a high-quality product to end on a high note.",yes
