alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's split fairly,Alice,1,
,,,Bob,1,reject
4500.0,5500.0,Let's try a bit more in my favor,Bob,2,
,,,Alice,2,reject
5800.0,4200.0,Meet me in the middle,Alice,3,
,,,Bob,3,reject
4200.0,5800.0,"Getting closer, but still not there",Bob,4,
,,,Alice,4,reject
5600.0,4400.0,"Come on, let's compromise",Alice,5,
,,,Bob,5,reject
4000.0,6000.0,"I'm being patient, you should too",Bob,6,
,,,Alice,6,reject
5400.0,4600.0,Don't think I'll go much lower,Alice,7,
,,,Bob,7,reject
3800.0,6200.0,You're running out of time,Bob,8,
,,,Alice,8,accept
