alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's be fair, I'll take a bit more",Alice,1,
,,,Bob,1,reject
45.0,55.0,"I'm feeling generous, but let's make it snappy.",Bob,2,
,,,Alice,2,reject
57.0,43.0,"Come on, meet me in the middle",Alice,3,
,,,Bob,3,reject
48.0,52.0,This is a good deal for both of us.  Don't let the clock run out!,Bob,4,
,,,Alice,4,reject
55.0,45.0,"I'm being reasonable, don't let inflation eat away your share",Alice,5,
,,,Bob,5,reject
50.0,50.0,Time is running out!  Let's split it evenly and both come out ahead.,Bob,6,
,,,Alice,6,accept
