alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's be fair, I'll take a bit more",Alice,1,
,,,Bob,1,reject
45.0,55.0,I think this is a more balanced offer.  Let's settle this quickly.,Bob,2,
,,,Alice,2,reject
57.0,43.0,I'll meet you halfway between our previous offers,Alice,3,
,,,Bob,3,reject
48.0,52.0,"Time is running out, and the value is decreasing. This is a reasonable compromise.",Bob,4,
,,,Alice,4,reject
55.0,45.0,"I'll take a smaller share, but still more than you offered",Alice,5,
,,,Bob,5,reject
50.0,50.0,Let's split it evenly and end this. A 50/50 split is the fairest and ensures we both benefit.,Bob,6,
,,,Alice,6,accept
