alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's be fair, Bob. This offer leaves us both with a good amount.",Alice,1,
,,,Bob,1,reject
4500.0,5500.0,"Let's try a bit more in my favor, considering the inflation",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"The inflation is hurting us both, Bob. This is a good deal considering the circumstances.",Alice,3,
,,,Bob,3,reject
4200.0,5800.0,"Inflation is indeed hurting, but I think I can still get a bit more, Alice",Bob,4,
,,,Alice,4,reject
5000.0,5000.0,"Bob, let's stop wasting time. A 50/50 split is the fairest option. We're losing money with every round!",Alice,5,
,,,Bob,5,accept
