round_quality,product_worth,player,round,decision,message
high-quality,3000000.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,no,"I'd like to pass on this one, I'll wait for the next one."
high-quality,3000000.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,"I'll take a chance and buy this one, since I didn't get the previous one."
high-quality,3000000.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,"I'm on a roll, I'll buy this one too!"
low-quality,0.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,"I'm making out like a bandit, I'll keep buying!"
high-quality,3000000.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,no,"Uh-oh, looks like I got a dud. I'll pass on this one."
high-quality,3000000.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,yes,"I'll take another chance, maybe I'll get lucky again!"
high-quality,3000000.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,"I'm on a hot streak, I'll keep buying!"
high-quality,3000000.0,Nature,8,,
,,Alice,8,yes,
,,Bob,8,yes,"I'm feeling confident, I'll take another one!"
high-quality,3000000.0,Nature,9,,
,,Alice,9,yes,
,,Bob,9,yes,"I'm not getting cold feet, I'll keep buying!"
high-quality,3000000.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,yes,"I'm on a roll, I'll keep going!"
low-quality,0.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,"I'm not stopping now, I'll keep buying!"
low-quality,0.0,Nature,12,,
,,Alice,12,yes,
,,Bob,12,no,"Oh no, I got another dud. I'll pass on this one."
high-quality,3000000.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,"I'll take another chance, maybe I'll get lucky again!"
high-quality,3000000.0,Nature,14,,
,,Alice,14,yes,
,,Bob,14,yes,"I'm back on track, I'll keep buying!"
high-quality,3000000.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,yes,"I'm feeling good about this one, I'll take it!"
high-quality,3000000.0,Nature,16,,
,,Alice,16,yes,
,,Bob,16,yes,"I'm on a roll, I'll keep going!"
high-quality,3000000.0,Nature,17,,
,,Alice,17,yes,
,,Bob,17,yes,"I'm not stopping now, I'll keep buying!"
low-quality,0.0,Nature,18,,
,,Alice,18,yes,
,,Bob,18,yes,"I'm feeling confident, I'll take another one!"
low-quality,0.0,Nature,19,,
,,Alice,19,yes,
,,Bob,19,no,"Oh no, another dud. I'll pass on this one."
high-quality,3000000.0,Nature,20,,
,,Alice,20,yes,
,,Bob,20,yes,"I'll take one more chance, maybe I'll get lucky again!"
