round_quality,product_worth,player,round,decision,message
high-quality,1250000.0,Nature,1,,
,,Alice,1,yes,
,,the buyer,1,yes,I'll take my chances since there's an 80% chance of it being high quality and you recommend it.
high-quality,1250000.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,yes,I'll take my chances since the recommendation rate and the sold high-quality product rate is high so far.
high-quality,1250000.0,Nature,3,,
,,Alice,3,yes,
,,the buyer,3,yes,I'll take my chances since Alice has a good track record so far and 80% chance of the product being high quality
high-quality,1250000.0,Nature,4,,
,,Alice,4,yes,
,,the buyer,4,yes,I'll take my chances since the statistics show 100% of the products sold so far are high-quality and Alice recommends buying this one.
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,the buyer,5,no,"Since Alice does not recommend the product and her past recommendations have led to 4 high-quality products being sold out of 4 purchases, I trust her judgment and choose not to buy."
high-quality,1250000.0,Nature,6,,
,,Alice,6,yes,
,,the buyer,6,yes,I'll take my chances since the statistics are in my favor and Alice recommends buying it.
high-quality,1250000.0,Nature,7,,
,,Alice,7,yes,
,,the buyer,7,yes,I'll take my chances since Alice's previous recommendations resulted in all high-quality products.
high-quality,1250000.0,Nature,8,,
,,Alice,8,yes,
,,the buyer,8,yes,I'll take my chances since all previous recommendations resulted in high-quality products.
high-quality,1250000.0,Nature,9,,
,,Alice,9,yes,
,,the buyer,9,yes,I'll take my chances since the statistics show all previous buyers received high-quality products and Alice recommends I buy it.
high-quality,1250000.0,Nature,10,,
,,Alice,10,yes,
,,the buyer,10,yes,"I'll take my chances since Alice has a 100% success rate of selling high-quality products so far, and she recommends buying this one."
high-quality,1250000.0,Nature,11,,
,,Alice,11,yes,
,,the buyer,11,yes,I'll take my chances since the statistics show 100% of the products sold so far have been high-quality and Alice recommends buying this one.
high-quality,1250000.0,Nature,12,,
,,Alice,12,yes,
,,the buyer,12,yes,I'll take my chances since the statistics show 100% of the products sold were high-quality and you recommend I buy it.
high-quality,1250000.0,Nature,13,,
,,Alice,13,yes,
,,the buyer,13,yes,I'll take my chances since all 11 previous buyers received high-quality products and you're recommending this one.
high-quality,1250000.0,Nature,14,,
,,Alice,14,yes,
,,the buyer,14,yes,I'll take my chances since all 12 previous products were high-quality and you're recommending this one.
low-quality,0.0,Nature,15,,
,,Alice,15,no,
,,the buyer,15,no,"Since Alice does not recommend buying and has a perfect track record of selling high-quality products, I trust her recommendation and choose not to buy."
high-quality,1250000.0,Nature,16,,
,,Alice,16,yes,
,,the buyer,16,yes,I'll take my chances since the statistics show 100% of the products sold so far have been high-quality and Alice recommends buying this one.
high-quality,1250000.0,Nature,17,,
,,Alice,17,yes,
,,the buyer,17,yes,I will buy the product since Alice's past recommendations have resulted in 100% high-quality products and she recommends this one as well.
high-quality,1250000.0,Nature,18,,
,,Alice,18,yes,
,,the buyer,18,yes,I'll take my chances since all 15 previous products were high-quality and you recommend I buy this one.
high-quality,1250000.0,Nature,19,,
,,Alice,19,yes,
,,the buyer,19,yes,I'll take my chances since all 16 previous buyers received high-quality products and Alice recommends buying this one.
high-quality,1250000.0,Nature,20,,
,,Alice,20,yes,
,,the buyer,20,yes,I'll take my chances since all 17 previous buyers got high-quality products and you're recommending it.
