alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's split it 60-40, a fair start!",Alice,1,
,,,Bob,1,reject
5000.0,5000.0,Let's meet in the middle!,Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'll give you a slightly better offer, but still fair!",Alice,3,
,,,Bob,3,reject
4800.0,5200.0,"I'll give you a slightly better offer, but still trying to get a better deal!",Bob,4,
,,,Alice,4,reject
5200.0,4800.0,"I'll give you a slightly better offer, let's meet in the middle again!",Alice,5,
,,,Bob,5,accept
