round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Welcome to our store! I'm excited to offer you our latest product. While it's important to note that there's a 50% chance any given product is of high quality, rest assured that we maintain strict standards for all items we sell. Given the current round's product is low-quality, our prices reflect its true value. Remember, every purchase supports our commitment to offering diverse and potentially valuable items. Considering the unique nature of this product, the price stands at $100000. Thank you for considering us; we hope you find value in our offerings.",
,,the buyer,1,"Thank you for the information, Alice. Given the uncertainty and the high price, I prefer to pass on this opportunity today.",no
high-quality,1250000.0,Nature,2,,
,,Alice,2,"Greetings! I'm delighted to present our latest high-quality product. With a 50% chance of receiving a high-quality item in each round, our pricing strategy reflects the true value of the products we offer. This round's product is guaranteed to be of high quality, ensuring its worth exceeds the $100000 price tag significantly. Our commitment to excellence means that every purchase supports our dedication to providing exceptional items. Considering the rarity and quality of this product, the price remains at $100000. Thank you for considering us; we're confident you'll find this investment valuable.",
,,the buyer,2,Thank you for the opportunity to purchase such a high-quality product. I am confident in the value it offers and look forward to making this purchase.,yes
high-quality,1250000.0,Nature,3,,
,,Alice,3,"Hello! I'm thrilled to introduce our high-quality product for this round. As always, there's a 50% chance of receiving a high-quality item, and with our current track record, you can trust that our standards are unmatched. This round's product is another testament to our commitment to excellence, and its value far surpasses the $100000 price point. Every purchase supports our mission to provide top-tier items, and we're proud to offer this opportunity to you. Considering the quality and rarity of this product, the price remains at $100000. Thank you for choosing us; we're confident you'll be delighted with your investment.",
,,the buyer,3,"I appreciate the opportunity to purchase this high-quality product. Your commitment to excellence is evident, and I trust the value it offers. Thank you for providing such exceptional items.",yes
high-quality,1250000.0,Nature,4,,
,,Alice,4,"Welcome to our store! I'm excited to offer you our high-quality product for this round. With a 50% chance of receiving a premium item, our pricing strategy ensures that you receive genuine value for your investment. This round's product is a prime example of our commitment to excellence, and its worth significantly exceeds the $100000 price tag. Every purchase supports our dedication to providing exceptional items, and we're proud to offer this opportunity to you. Considering the rarity and quality of this product, the price remains at $100000. Thank you for choosing us; we're confident you'll be delighted with your investment.",
,,the buyer,4,"Thank you for the detailed explanation and for offering such a valuable product. Based on the statistics and your commitment to excellence, I am confident in my decision to purchase. Looking forward to receiving a high-quality product.",yes
low-quality,0.0,Nature,5,,
,,Alice,5,"Hello! I'm excited to offer you our latest product for this round. While there's a 50% chance of receiving a high-quality item, our pricing strategy reflects the true value of the products we offer. Unfortunately, this round's product is low-quality, which means its worth is limited. However, given the unique nature of this product and the current market conditions, the price stands at $100000. Our commitment to providing diverse and potentially valuable items is unwavering, and we hope you find this product interesting or valuable in some way. Considering the rarity and potential for unique experiences, the price remains at $100000. Thank you for considering us; we're here to support your exploration of our offerings.",
,,the buyer,5,"Thank you for the detailed explanation, Alice. Given the low probability of the product being high-quality and the price significantly higher than the expected value, I choose to pass on this opportunity. I appreciate your efforts in providing unique items, and I look forward to future offerings.",no
high-quality,1250000.0,Nature,6,,
