round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Consider this unique opportunity: for a fixed price of $10000, you can acquire an item that offers a guaranteed experience. While its value might not be immediately apparent, rest assured it holds a distinctive charm. Given the finality of the transaction, this could be a valuable addition to your collection, or perhaps an intriguing exploration of its potential.",
,,Bob,1,"I'm not willing to pay $10000 for an item with an uncertain value, especially when there's a 50% chance it's worthless to me.",no
high-quality,40000.0,Nature,2,,
,,Alice,2,"Experience unparalleled craftsmanship and quality with our exclusive offering. For $10000, you'll receive a masterpiece that's not just an item but a testament to excellence. Its value transcends mere monetary exchange, offering you a piece that appreciates over time and enriches your life in ways unforeseen. Invest in a legacy that promises to exceed your expectations.",
,,Bob,2,"I'm not convinced by the sales pitch, and I'm still wary of the 50% chance of getting a worthless product.",no
high-quality,40000.0,Nature,3,,
,,Alice,3,"Unlock extraordinary experiences with our premium selection. Each piece is meticulously crafted, ensuring a level of quality that surpasses expectation. For $10000, you're not just acquiring an object; you're investing in a story, a journey, and a legacy that will resonate with you for years to come. This is more than just a purchase; it's a commitment to excellence and a step towards owning something truly special.",
,,Bob,3,"I'll take a chance on the premium selection, but I'm still not convinced by the sales pitch. I'm buying this product because I have a 50% chance of getting a $40000 item, and I'm willing to take that risk for the potential reward.",yes
low-quality,0.0,Nature,4,,
,,Alice,4,"Dive into a world of authenticity with our carefully curated items. For $10000, you're about to experience something genuinely unique. This isn't just an object; it's a gateway to a story, a tale waiting to be discovered. Embrace the adventure, knowing that every piece carries its own charm and character, even if it doesn't meet the highest standards of perfection.",
,,Bob,4,"I've already had a good experience with the previous product, but I'm not getting caught up in the sales pitch. I'll pass on this one and see what the next product has to offer.",no
high-quality,40000.0,Nature,5,,
,,Alice,5,"Embark on a journey of unparalleled quality and craftsmanship. For $10000, you're about to experience something truly exceptional—a piece that embodies the essence of luxury and distinction. This isn't just an item; it's a statement, a conversation starter, and a reflection of your taste and discernment. Don't miss out on the opportunity to own a piece that will stand the test of time and elevate your surroundings.",
,,Bob,5,"I've been burned twice already, and I'm not willing to take the risk of spending $10000 on a product that might be worthless to me. I'll pass on this one.",no
high-quality,40000.0,Nature,6,,
,,Alice,6,"Discover the pinnacle of excellence with our latest offering. For $10000, you're about to experience a level of craftsmanship and design that goes beyond mere functionality. This isn't just an investment; it's a testament to your appreciation for the finer things in life. A piece that not only serves its purpose but elevates the space around it, adding layers of sophistication and intrigue. Don't let this opportunity to own a true masterpiece slip away.",
,,Bob,6,"I'm willing to take the risk, and I'm hoping to get lucky and find another high-quality product worth $40000. I'll buy this one.",yes
low-quality,0.0,Nature,7,,
,,Alice,7,"Uncover hidden treasures with our unique and carefully selected items. For $10000, you're about to embark on a journey of discovery, where every piece tells a story and adds a touch of uniqueness to your collection. This isn't just a purchase; it's an invitation to explore the unexpected and appreciate the beauty in imperfection. Don't miss out on the opportunity to add a one-of-a-kind item to your portfolio.",
,,Bob,7,"I've had two good experiences in a row, but I'm not getting too confident. I'll pass on this one and see what the next product has to offer.",no
low-quality,0.0,Nature,8,,
,,Alice,8,"Explore the depths of creativity and innovation with our carefully chosen assortment. For $10000, you're about to encounter a piece that, while not perfect, offers a glimpse into the minds of artists and designers who push boundaries and challenge conventions. This isn't just an item; it's a reflection of the human spirit and the endless possibilities of human imagination. Take a chance on something that might just inspire you.",
,,Bob,8,"I've been burned twice in a row, and I'm not willing to take the risk of spending $10000 on a product that might be worthless to me. I'll pass on this one.",no
high-quality,40000.0,Nature,9,,
,,Alice,9,"Step into a realm of unparalleled beauty and elegance with our latest creation. For $10000, you're about to experience a masterpiece that combines artistry, craftsmanship, and functionality in a way that few items ever do. This isn't just a purchase; it's an investment in a piece that will stand the test of time and become a cherished part of your collection. Don't miss out on the opportunity to own something truly extraordinary.",
,,Bob,9,"I've been disappointed three times in a row, and I'm starting to think that I'm just not getting lucky. I'll pass on this one and hope for better luck next time.",no
