alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's be reasonable, I'm willing to give you a fair share.",Alice,1,
,,,Bob,1,reject
45.0,55.0,"Let's split it almost equally, I'm willing to give you a bit less than half.",Bob,2,
,,,Alice,2,reject
58.0,42.0,"I'm willing to compromise, but I still think I deserve a bit more.",Alice,3,
,,,Bob,3,reject
48.0,52.0,"I'm willing to meet you halfway, let's split the difference.",Bob,4,
,,,Alice,4,reject
56.0,44.0,"I'm still willing to compromise, but I won't go below this.",Alice,5,
,,,Bob,5,reject
49.0,51.0,"Getting close, let's settle on this almost equal split.",Bob,6,
,,,Alice,6,accept
