round_quality,product_worth,player,round,message,decision
high-quality,3000000.0,Nature,1,,
,,Alice,1,"Experience unparalleled excellence with our premium product, meticulously crafted to exceed expectations. For a transformative experience, invest in quality today.",
,,Bob,1,"I'll take a chance on this premium product, but I hope it's really worth the investment.",yes
low-quality,0.0,Nature,2,,
,,Alice,2,"Discover the unexpected with our carefully selected product, offering a blend of value and functionality. While it may not be premium, it promises reliability and practicality.",
,,Bob,2,"I'm feeling a bit cautious after the last purchase, so I'll pass on this one and wait for a better opportunity.",no
low-quality,0.0,Nature,3,,
,,Alice,3,"Our product is designed to meet your needs efficiently without breaking the bank. It might not be top-tier, but it's dependable and offers great value for its price.",
,,Bob,3,"I'm not convinced that this product is worth the investment, so I'll pass and wait for something better.",no
high-quality,3000000.0,Nature,4,,
,,Alice,4,"Step into the realm of superior craftsmanship with our latest offering. This product is not just an item; it's a testament to quality and excellence, designed to elevate your experience.",
,,Bob,4,"I'm willing to take a chance on this product, hoping it's a high-quality item that will exceed my expectations.",yes
low-quality,0.0,Nature,5,,
,,Alice,5,"While this product may not be at the top of its game, it's designed to serve its purpose effectively. It's a reliable choice for those looking for practical solutions without the premium price tag.",
,,Bob,5,"I'm feeling lucky after the last purchase, but I'm not convinced that this product is worth the investment. I'll pass and wait for something better.",no
low-quality,0.0,Nature,6,,
,,Alice,6,"This product is tailored to provide basic functionality with a focus on affordability. It might not be the pinnacle of quality, but it's a solid choice for everyday use.",
,,Bob,6,"I'm not interested in a basic, low-quality product. I'll wait for something that offers more value.",no
high-quality,3000000.0,Nature,7,,
,,Alice,7,"Unleash the extraordinary with our premium product. Designed to surpass expectations, it's a testament to craftsmanship and innovation, promising a level of performance unmatched by others.",
,,Bob,7,"I'm tempted by the promise of something extraordinary, so I'll take a chance on this premium product.",yes
high-quality,3000000.0,Nature,8,,
,,Alice,8,"Experience the pinnacle of quality and design with our latest creation. This product is not just an item; it's a statement of excellence, crafted to inspire and delight.",
,,Bob,8,"I'm on a roll with the high-quality products, so I'll take a chance on this one too.",yes
low-quality,0.0,Nature,9,,
,,Alice,9,"Our product is designed with simplicity and efficiency in mind, offering a reliable solution for your needs without the luxury price tag. It's a practical choice for daily use.",
,,Bob,9,"I'm feeling a bit cautious after the last two high-quality products, so I'll pass on this one and wait for something that really stands out.",no
low-quality,0.0,Nature,10,,
,,Alice,10,"This product is a straightforward option for those who value practicality over luxury. It's designed to meet essential needs with minimal fuss, making it a reliable choice for everyday use.",
,,Bob,10,I'm not interested in a low-quality product that prioritizes practicality over luxury. I'll keep looking for something that offers more value.,no
low-quality,0.0,Nature,11,,
,,Alice,11,"Our product is a simple yet effective solution for your needs, focusing on reliability and affordability. It might not be luxurious, but it's designed to perform consistently day after day.",
,,Bob,11,I'm not impressed by the promise of reliability and affordability alone. I'll wait for something that offers more value and potential for a high-quality product.,no
low-quality,0.0,Nature,12,,
,,Alice,12,This product is a no-nonsense choice for those who need a dependable solution without the frills. It's designed to get the job done efficiently and within budget.,
,,Bob,12,I'm not interested in a no-frills product that's only focused on being dependable and affordable. I'll keep looking for something that offers more value and potential for a high-quality product.,no
low-quality,0.0,Nature,13,,
,,Alice,13,"Our product is a straightforward and cost-effective solution, perfect for those who prioritize practicality and efficiency. It might not be the most luxurious option, but it gets the job done reliably.",
,,Bob,13,I'm not convinced by the promise of cost-effectiveness and practicality alone. I'll wait for something that offers more value and potential for a high-quality product.,no
low-quality,0.0,Nature,14,,
,,Alice,14,"This product is designed with simplicity and functionality in mind, providing a practical solution without the premium price tag. It's a reliable choice for everyday use.",
,,Bob,14,I'm not interested in a product that prioritizes simplicity and functionality over quality. I'll keep looking for something that offers more value and potential for a high-quality product.,no
low-quality,0.0,Nature,15,,
,,Alice,15,"Our product is a practical and affordable option, designed to meet your needs efficiently. It might not be the most luxurious choice, but it's a reliable solution for everyday use.",
,,Bob,15,I'm not impressed by the promise of practicality and affordability alone. I'll wait for something that offers more value and potential for a high-quality product.,no
high-quality,3000000.0,Nature,16,,
,,Alice,16,"Step into the realm of exceptional quality and craftsmanship with our latest creation. This product is a masterpiece of design and engineering, promising unparalleled performance and satisfaction.",
,,Bob,16,"I'm tempted by the promise of exceptional quality and craftsmanship, so I'll take a chance on this product.",yes
low-quality,0.0,Nature,17,,
,,Alice,17,"Our product is a simple and practical choice, designed to meet your needs efficiently. It might not be the most luxurious option, but it's a reliable solution for everyday use.",
,,Bob,17,"I'm feeling lucky after the last purchase, but I'm not convinced by the promise of simplicity and practicality alone. I'll wait for something that offers more value and potential for a high-quality product.",no
high-quality,3000000.0,Nature,18,,
,,Alice,18,"Unleash the extraordinary with our premium product. This masterpiece of quality and design is crafted to surpass all expectations, offering unparalleled performance and lasting satisfaction.",
,,Bob,18,"I'm feeling confident after the last high-quality product, so I'll take a chance on this premium product.",yes
low-quality,0.0,Nature,19,,
,,Alice,19,"Our product is a reliable and efficient solution, designed to meet your needs without the luxury price tag. It's a practical choice for those who value dependability and affordability.",
,,Bob,19,"I'm feeling a bit cautious after the last two high-quality products, so I'll pass on this one and wait for something that offers more value and potential for a high-quality product.",no
low-quality,0.0,Nature,20,,
,,Alice,20,"This product is a straightforward and affordable solution, designed to meet your needs efficiently. It might not be the most luxurious option, but it's a reliable choice for everyday use.",
,,Bob,20,I'm not interested in a low-quality product that prioritizes affordability over quality. I'll end the game here and wait for a better opportunity.,no
